Código;Descripción;Precio;Subrubro;Stock;Marca;Rubro
VK210KTS;BBA DE COMBUSTIBLE VK-210 KIT APLICACION;$ 244,24;KIT REPARACIÓN BOMBA COMBUSTIBLE;1;VERKEHR;BOMBAS
VK477KTS;BBA DE COMBUSTIBLE VK-477 KIT DE APLICACION;$ 6028,59;KIT REPARACIÓN BOMBA COMBUSTIBLE;67;VERKEHR;BOMBAS
RGUE8012S;BBA NAFTA ELECTRICA UNIVERSAL  USO EXTERNO TIPO AIRTEX;$ 33109,76;BOMBA COMBUSTIBLE ELECTRICA;18;REGITAR;BOMBAS
RGU290;BBA. NAFTA ELECTR. FIAT PALIO, SIENA, RENAULT MEGANE, 19, PEUGEOT, FORD 3,5 BAR. 12V.;$ 33479,29;BOMBA COMBUSTIBLE ELECTRICA;7;REGITAR;BOMBAS
RGU477;BBA. NAFTA ELECTR. FIAT, FORD, RENAULT, CHEVRLOET. MULTIPUNTO. 3 BAR. 12V.;$ 21313,85;BOMBA COMBUSTIBLE ELECTRICA;310;REGITAR;BOMBAS
RGU209;BBA. NAFTA ELECTR. FIAT, FORD, RENAULT, VOLKSWAGEN.PICO VERDE MONOPUNTO. 1,5 BAR. 12V.;$ 35854,83;BOMBA COMBUSTIBLE ELECTRICA;4;REGITAR;BOMBAS
RGU210;BBA. NAFTA ELECTR. FIAT, FORD, RENAULT, VOLKSWAGEN.PICO VERDE MULTIPUNTO. 3 BAR. 12V.;$ 35970,98;BOMBA COMBUSTIBLE ELECTRICA;12;REGITAR;BOMBAS
RGUD226;BBA. NAFTA ELECTR. FORD FOCUS, FIESTA, KA, MONDEO, TRANSIT.3 BAR. 12V.;$ 31388,81;BOMBA COMBUSTIBLE ELECTRICA;4;REGITAR;BOMBAS
RGU481;BBA. NAFTA ELECTR. FORD RANGER 4,0 - 4 BAR - 12V - 95 L/H;$ 30839,80;BOMBA COMBUSTIBLE ELECTRICA;9;REGITAR;BOMBAS
RGU070;BBA. NAFTA ELECTR. PEUGEOT 405, 505, RENAULT 21, FORD GALAXY. USO EXTERNO.3 BAR. 12V.160L-H;$ 59831,97;BOMBA COMBUSTIBLE ELECTRICA;4;REGITAR;BOMBAS
RGU214MPI;BBA. NAFTA ELECTR. RENAULT 19 - 1,6 SPI - TWINGO  1,2 SPI - 1 BAR - 12V - 90 L/H;$ 37427,97;BOMBA COMBUSTIBLE ELECTRICA;4;REGITAR;BOMBAS
RGU214;BBA. NAFTA ELECTR. RENAULT 19 - CLIO - MEGANE - MPFI - 3 BAR - 12V- 90 L/H;$ 37248,48;BOMBA COMBUSTIBLE ELECTRICA;6;REGITAR;BOMBAS
RGU40106;BBA. NAFTA ELECTR. UNIVERSAL PARA USO EXTERNO TIPO FACET;$ 33320,92;BOMBA COMBUSTIBLE ELECTRICA;18;REGITAR;BOMBAS
RGU6091;BBA. NAFTA ELECTR. VW POLO (1995-1998), VW GOLF III 1.8/2.0    3 BAR. 12V;$ 54394,62;BOMBA COMBUSTIBLE ELECTRICA;7;REGITAR;BOMBAS
RGU9051;BBA. NAFTA ELECTR. VW POLO (1999-2005)  4 BAR. 12V.;$ 49115,64;BOMBA COMBUSTIBLE ELECTRICA;6;REGITAR;BOMBAS
VK477B;BBA. NAFTA ELECTRICA FIAT FORD RENAULT CHEVR.;$ 37399,50;BOMBA COMBUSTIBLE ELECTRICA;663;BOSCH;BOMBAS
M1015;BLAZER S-10;$ 22235,32;SENSOR MARIPOSA TPS;0;FISPA;SENSORES
12961MULTI5;BLISTER 2 LAMPARAS MUELITAS  MULTILED 5 PUNTAS 12V.;$ 1309,20;LED;65;KOBO;LAMPARAS
12961SILBLA;BLISTER 2 LAMPARAS MUELITAS LED SILICA 12V BLANCA;$ 1319,75;LED;81;KOBO;LAMPARAS
12961MULTI9;BLISTER 2 LAMPARAS MUELITAS MULTILED 9 PUNTAS 12V;$ 1573,15;LED;232;KOBO;LAMPARAS
KD8065D;BOBINA CHEVROLET CRUZE;$ 166491,21;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD5017;BOBINA CHEVROLET ONIX/PRISMA/SONIC;$ 49582,59;BOBINAS DE ENCENDIDO;2;CADIC;BOBINAS
FI70121;BOBINA DE ENCENDIDO CHEVROLET CRUZE 2010 DESDE 1.8 96476979;$ 133630,16;BOBINAS DE ENCENDIDO;3;FISPA;BOBINAS
FI70152;BOBINA DE ENCENDIDO CHEVROLET TRACKER SONIC 7 PINES CON MODULO 25186687;$ 136136,44;BOBINAS DE ENCENDIDO;5;FISPA;BOBINAS
FI70014;BOBINA DE ENCENDIDO CORSA MULTIUPUNTO 98/98;$ 72103,77;BOBINAS DE ENCENDIDO;3;FISPA;BOBINAS
FI70172;BOBINA DE ENCENDIDO NISSAN TIIDA 1.6/1.8;$ 59659,06;BOBINAS DE ENCENDIDO;2;FISPA;BOBINAS
FI70013;BOBINA DE ENCENDIDO POLO, GOLF 1.6/1.8/2.0 905104;$ 39120,96;BOBINAS DE ENCENDIDO;0;FISPA;BOBINAS
KD9120H;BOBINA DE ENCENDIDO RENAULT KOLEOS 2.5 NISSAN TIIDA;$ 60368,48;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
RGU11502;BOBINA DE IGNICION FORD ECOSPORT/FOCUS DURATEC;$ 33183,67;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
RGU11479;BOBINA DE IGNICION NISSAN TIIDA;$ 50699,33;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
154301;BOBINA ELECTRONICA PEUGEOT 106 – 206  FICHA NEGRA;$ 90380,48;BOBINAS DE ENCENDIDO;1;BOUGICORD;BOBINAS
KD8051A;BOBINA ENC. 106 / 206 CON MODULO FICHA GRIS;$ 85637,45;BOBINAS DE ENCENDIDO;1;CADIC;BOBINAS
KD8051;BOBINA ENC. 106 / 206 CON MODULO FICHA NEGRA;$ 85637,45;BOBINAS DE ENCENDIDO;3;CADIC;BOBINAS
KD2806;BOBINA ENC. 205 TODOS;$ 27113,92;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD8057;BOBINA ENC. 306 16V;$ 181907,06;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD8055A;BOBINA ENC. 307 1.6L 16V;$ 103177,65;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD2806A;BOBINA ENC. 405 CARBURADOR;$ 28825,00;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD8040;BOBINA ENC. 405 SRI;$ 54017,15;BOBINAS DE ENCENDIDO;1;CADIC;BOBINAS
KD8002A;BOBINA ENC. ASTRA, VECTRA;$ 52105,58;BOBINAS DE ENCENDIDO;3;CADIC;BOBINAS
RGU11453;BOBINA ENC. CHEVROLET CORSA 1,8 8V -MERIVA -1,8;$ 48271,00;BOBINAS DE ENCENDIDO;10;REGITAR;BOBINAS
KD8065;BOBINA ENC. CHEVROLET CRUZE;$ 126409,99;BOBINAS DE ENCENDIDO;3;CADIC;BOBINAS
RGU11412;BOBINA ENC. CHEVROLET OPEL ASTRA-CORSA-TIGRA-VECTRA;$ 86892,02;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
RGU11420;BOBINA ENC. CHVROLET CORSA 1.6 / 1.8 / DAEWOO LANOS, ESPERO;$ 60349,30;BOBINAS DE ENCENDIDO;14;REGITAR;BOBINAS
KD8056;BOBINA ENC. CITROEN C4/PEUGEOT 307 2.0;$ 132576,34;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD8052;BOBINA ENC. CLIO 2, KANGOO 16V 3 AGUJEROS;$ 71651,15;BOBINAS DE ENCENDIDO;3;CADIC;BOBINAS
KD8052A;BOBINA ENC. CLIO 2, KANGOO 16V 4 AGUJEROS;$ 85637,45;BOBINAS DE ENCENDIDO;2;CADIC;BOBINAS
KD8052B;BOBINA ENC. CLIO 2, KANGOO 16V 4 AGUJEROS S/CABLES;$ 60186,96;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD8050;BOBINA ENC. CORSA MULTIPUNTO 95-98;$ 85637,45;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD8004B;BOBINA ENC. CORSA MULTIPUNTO INJECTION 3 PINES;$ 45856,73;BOBINAS DE ENCENDIDO;21;CADIC;BOBINAS
KD8004;BOBINA ENC. CORSA MULTIPUNTO INJECTION 4 PINES 98/05;$ 84763,92;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD8001;BOBINA ENC. ESCORT ZETEC;$ 42990,69;BOBINAS DE ENCENDIDO;2;CADIC;BOBINAS
KD8007H;BOBINA ENC. ESCORT, FIESTA, FOCUS, ECOSPORT ‘00;$ 42990,69;BOBINAS DE ENCENDIDO;5;CADIC;BOBINAS
KD2910;BOBINA ENC. ESCORT/POINTER INJECTION ‘95?’98;$ 30536,07;BOBINAS DE ENCENDIDO;4;CADIC;BOBINAS
